sequence,RiverSensorX,RiverSensorY,RiverSensorZ,RiverSensorADC3
0,-4410,-36,180,1474
1,-4425,-57,180,1473
2,-4425,-57,90,1472
3,-4419,-57,90,1471
4,-4404,-57,141,1471
5,-4404,-84,111,1470
6,-4365,-75,111,1470
7,-4365,-75,180,1470
8,-4383,-39,180,1474
9,-4371,-39,132,1474
10,-4371,-30,114,1473
11,-4404,-45,114,1472
12,-4404,-45,180,1472
13,-4398,-54,180,1471
14,-4389,-54,162,1471
15,-4389,-63,138,1470
16,-4395,-45,138,1470
17,-4395,-45,165,1470
18,-4416,-45,165,1475
19,-4404,-45,189,1474
20,-4404,-63,174,1474
21,-4440,-69,174,1473
22,-4440,-69,120,1473
23,-4422,-60,120,1472
24,-4401,-60,150,1472
25,-4401,-42,201,1471
26,-4416,-42,201,1471
27,-4416,-42,180,1471
28,-4434,-60,180,1471
29,-4404,-60,171,1475
30,-4404,-54,120,1474
31,-4416,-69,120,1473
32,-4386,-69,189,1473
33,-4386,-75,189,1472
34,-4389,-75,189,1472
35,-4389,-78,210,1471
36,-4416,-57,210,1471
37,-4437,-57,105,1470
38,-4437,-57,105,1470
39,-4419,-57,96,1474
40,-4419,-54,162,1474
41,-4410,-66,162,1473
42,-4401,-66,138,1473
43,-4401,-69,138,1472
44,-4386,-69,180,1472
45,-4386,-60,183,1471
46,-4401,-45,183,1471
47,-4395,-45,111,1470
48,-4395,-66,111,1471
49,-4377,-66,138,1477
50,-4377,-60,138,1448
51,-4416,-60,138,1479
52,-4416,-42,141,1475
53,-4386,-54,141,1445
54,-4386,-54,171,1477
55,-4401,-15,171,1478
56,-4389,-15,114,1451
57,-4389,-51,114,1476
58,-4353,-51,150,1476
59,-4353,-42,207,1447
60,-4404,-54,207,1478
61,-4404,-54,138,1477
62,-4395,-30,138,1477
63,-4407,-30,138,1476
64,-4407,-69,150,1476
65,-4398,-81,150,1481
66,-4398,-81,156,1480
67,-4425,-63,156,1479
68,-4404,-63,129,1479
69,-4404,-30,114,1478
70,-4398,-51,114,1477
71,-4398,-51,147,1477
72,-4410,-66,147,1476
73,-4404,-66,174,1476
74,-4404,-57,156,1475
75,-4404,-63,156,1480
76,-4404,-63,156,1479
77,-4437,-69,156,1478
78,-4395,-69,156,1478
79,-4395,-45,147,1477
80,-4404,-78,147,1476
81,-4404,-78,129,1475
82,-4404,-45,129,1475
83,-4404,-45,165,1474
84,-4404,-72,207,1474
85,-4437,-36,207,1479
86,-4401,-36,180,1478
87,-4401,-51,180,1477
88,-4395,-51,189,1477
89,-4395,-33,147,1476
90,-4428,-36,147,1476
91,-4407,-36,150,1475
92,-4407,-45,150,1475
93,-4377,-45,225,1474
94,-4377,-42,162,1474
95,-4386,-45,162,1478
96,-4377,-45,132,1478
97,-4377,-72,132,1477
98,-4398,-72,192,1477
99,-4398,-33,198,1476
100,-4362,-72,198,1476
101,-4395,-72,150,1475
102,-4395,-24,150,1475
103,-4389,-24,198,1474
104,-4389,-57,114,1474
105,-4347,-42,114,1478
106,-4521,-42,114,1478
107,-4521,-45,123,1477
108,-4293,-45,123,1477
109,-4293,-39,162,1476
110,-4578,-81,162,1476
111,-4257,-81,165,1475
112,-4257,-9,201,1475
113,-4428,-9,201,1474
114,-4428,-72,138,1474
115,-4371,-36,138,1474
116,-4446,-36,180,1478
117,-4446,-72,171,1477
118,-4380,-72,171,1477
119,-4380,-63,174,1477
120,-4404,-60,174,1476
121,-4419,-60,189,1475
122,-4419,-60,150,1475
123,-4404,-60,150,1474
124,-4404,-12,102,1474
125,-4368,-18,102,1474
126,-4446,-18,189,1478
127,-4446,-75,111,1477
128,-4377,-75,111,1477
129,-4377,-60,141,1476
130,-4398,-75,141,1476
131,-4395,-75,114,1475
132,-4395,-57,90,1475
133,-4407,-57,90,1474
134,-4407,-42,147,1474
135,-4458,-45,147,1474
136,-4371,-45,141,1479
137,-4371,-42,150,1478
138,-4371,-42,150,1478
139,-4371,-33,165,1477
140,-4347,-42,165,1476
141,-4404,-42,129,1475
142,-4404,-54,111,1475
143,-4395,-54,111,1474
144,-4395,-84,162,1474
145,-4353,-96,162,1474
146,-4437,-96,243,1478
147,-4437,-78,54,1478
148,-4578,15,54,1477
149,-4578,15,123,1477
150,-4290,-75,123,1476
151,-4338,-75,141,1475
152,-4338,-18,162,1475
153,-4452,-90,162,1474
154,-4452,-90,129,1474
155,-4332,-96,129,1474
156,-4437,-96,141,1479
157,-4437,-54,114,1478
158,-4410,-96,114,1478
159,-4410,-96,111,1473
160,-4425,-72,111,1476
161,-4407,-72,162,1475
162,-4407,-42,120,1475
163,-4410,-57,120,1474
164,-4410,-57,132,1474
165,-4455,-102,132,1474
166,-4416,-102,171,1479
167,-4416,-69,165,1478
168,-4443,-60,165,1477
169,-4443,-60,171,1477
170,-4428,-51,171,1476
171,-4446,-51,138,1475
172,-4446,-60,147,1475
173,-4416,-63,147,1475
174,-4416,-63,132,1474
175,-4434,-75,132,1474
176,-4425,-75,171,1479
177,-4425,-60,105,1478
178,-4458,-90,105,1477
179,-4458,-90,192,1476
180,-4407,-45,192,1476
181,-4416,-45,132,1475
182,-4416,-54,141,1474
183,-4398,-72,141,1474
184,-4398,-72,138,1474
185,-4425,-78,138,1478
186,-4434,-78,129,1478
187,-4434,-63,174,1477
188,-4416,-39,174,1477
189,-4446,-39,156,1476
190,-4446,-75,156,1476
191,-4434,-75,174,1475
192,-4434,-87,174,1475
193,-4395,-66,174,1474
194,-4377,-66,201,1474
195,-4377,-78,201,1478
196,-4386,-78,165,1478
197,-4386,-60,201,1477
198,-4383,-51,201,1477
199,-4377,-51,198,1476
200,-4377,-33,198,1476
201,-4332,-33,150,1475
202,-4332,-78,156,1474
203,-4308,-54,156,1474
204,-4347,-54,141,1474
205,-4347,-36,141,1478
206,-4341,-36,165,1478
207,-4341,-42,192,1477
208,-4320,-33,192,1477
209,-4365,-33,156,1476
210,-4365,-66,114,1476
211,-4386,-66,114,1475
212,-4386,6,150,1475
213,-4377,6,150,1474
214,-4443,6,159,1474
215,-4443,6,132,1478
216,-4443,6,132,1478
217,-4443,-21,87,1478
218,-4482,-15,87,1478
219,-4494,-15,51,1477
220,-4494,-21,87,1476
221,-4533,-21,87,1475
222,-4533,-9,54,1475
223,-4521,-15,54,1474
224,-4551,-15,45,1474
225,-4551,-21,78,1473
226,-4497,-21,78,1479
227,-4497,-18,96,1478
228,-4479,-72,96,1478
229,-4473,-72,60,1477
230,-4473,-102,150,1476
231,-4416,-102,150,1475
232,-4416,-90,180,1475
233,-4365,-102,180,1474
234,-4314,-102,183,1474
235,-4314,-129,252,1473
236,-4257,-129,252,1478
237,-4257,-159,216,1477
238,-4206,-120,216,1477
239,-4191,-120,210,1476
240,-4191,-126,276,1476
241,-4161,-126,276,1475
242,-4161,-96,225,1475
243,-4143,-66,225,1474
244,-4170,-66,267,1474
245,-4170,-69,243,1474
246,-4227,-60,243,1474
247,-4227,-60,249,1478
248,-4269,-87,249,1478
249,-4338,-87,267,1477
250,-4338,-60,198,1477
251,-4404,-24,198,1475
252,-4404,-24,129,1475
253,-4476,-9,129,1474
254,-4539,-9,114,1474
255,-4539,30,39,1474
256,-4560,-45,39,1474
257,-4560,-45,63,1478
258,-4632,24,63,1477
259,-4662,24,30,1472
260,-4662,24,-15,1476
261,-4683,27,-15,1476
262,-4683,27,-12,1475
263,-4680,3,-12,1475
264,-4674,3,-63,1475
265,-4674,-6,-39,1474
266,-4680,-9,-39,1474
267,-4680,-9,-93,1478
268,-4569,-24,-93,1477
269,-4551,-24,21,1477
270,-4551,-54,69,1477
271,-4473,-45,69,1476
272,-4473,-45,60,1475
273,-4407,-81,60,1475
274,-4275,-81,111,1475
275,-4275,-87,147,1474
276,-4230,-72,147,1474
277,-4041,-72,171,1474
278,-4041,-15,171,1478
279,-4026,-15,225,1477
280,-4026,-33,234,1477
281,-4008,15,234,1476
282,-3999,15,228,1476
283,-3999,-18,228,1475
284,-4038,-18,312,1475
285,-4038,15,312,1474
286,-4095,-15,312,1473
287,-4161,-15,294,1474
288,-4161,-60,294,1478
289,-4212,-60,321,1477
290,-4212,-54,285,1477
291,-4359,-75,285,1476
292,-4401,-75,276,1475
293,-4401,-63,276,1475
294,-4515,-63,210,1474
295,-4515,-75,150,1474
296,-4569,-84,150,1474
297,-4656,-84,120,1478
298,-4656,-84,120,1478
299,-4695,-84,138,1477
300,-4695,-90,78,1477
301,-4695,-153,78,1477
302,-4740,-153,12,1476
303,-4740,-177,3,1475
304,-4731,-177,3,1474
305,-4731,-177,-39,1474
306,-4680,-198,-39,1474
307,-4671,-198,9,1473
308,-4671,-204,-9,1478
309,-4572,-204,-9,1477
310,-4572,-159,-6,1476
311,-4545,-132,-6,1476
312,-4464,-132,-6,1476
313,-4464,-135,60,1475
314,-4302,-135,60,1475
315,-4302,-12,36,1475
316,-4338,12,36,1474
317,-4224,12,165,1474
318,-4224,36,96,1473
319,-4161,36,96,1478
320,-4161,42,156,1477
321,-4056,72,156,1477
322,-4080,72,183,1476
323,-4080,84,243,1475
324,-4074,84,243,1475
325,-4074,99,165,1474
326,-4113,117,165,1474
327,-4170,117,258,1473
328,-4170,99,240,1473
329,-4272,114,240,1478
330,-4272,114,228,1478
331,-4293,15,228,1477
332,-4344,15,252,1476
333,-4344,18,192,1475
334,-4434,-117,192,1475
335,-4434,-117,240,1474
336,-4464,-150,240,1474
337,-4497,-150,276,1474
338,-4497,-189,249,1474
339,-4536,-213,249,1478
340,-4536,-213,180,1478
341,-4542,-261,180,1477
342,-4530,-261,174,1477
343,-4530,-264,120,1476
344,-4569,-264,120,1475
345,-4569,-264,105,1475
346,-4557,-249,105,1474
347,-4533,-249,63,1474
348,-4533,-243,105,1474
349,-4533,-195,105,1473
350,-4533,-195,69,1478
351,-4503,-162,69,1477
352,-4476,-162,12,1477
353,-4476,-126,96,1476
354,-4455,-87,96,1475
355,-4455,-87,105,1475
356,-4458,-57,105,1474
357,-4461,-57,81,1474
358,-4461,-15,162,1474
359,-4395,51,162,1472
360,-4305,51,120,1478
361,-4305,39,120,1477
362,-4362,39,87,1477
363,-4362,96,147,1476
364,-4341,162,147,1475
365,-4365,162,150,1475
366,-4365,81,150,1474
367,-4350,81,174,1474
368,-4350,72,120,1474
369,-4350,60,120,1478
370,-4380,60,192,1477
371,-4380,12,192,1476
372,-4371,12,129,1476
373,-4371,9,108,1476
374,-4368,6,108,1475
375,-4353,6,129,1474
376,-4353,-54,129,1474
377,-4359,-54,162,1473
378,-4359,-63,207,1473
379,-4377,-51,207,1478
380,-4227,-51,201,1477
381,-4227,-108,201,1477
382,-4362,-108,171,1476
383,-4362,-105,162,1475
384,-4311,-75,162,1475
385,-4341,-75,174,1474
386,-4341,-105,180,1474
387,-4359,-105,180,1473
388,-4359,-99,180,1473
389,-4332,-123,180,1478
390,-4338,-123,111,1478
391,-4338,-141,225,1477
392,-4362,-141,225,1476
393,-4362,-90,156,1475
394,-4419,-84,156,1475
395,-4401,-84,183,1474
396,-4401,-63,216,1473
397,-4455,-63,216,1473
398,-4455,-42,162,1473
399,-4497,-39,162,1478
400,-4491,-39,141,1478
401,-4491,-15,114,1477
402,-4542,-15,114,1476
403,-4542,-51,102,1475
404,-4560,-45,102,1475
405,-4521,-45,9,1474
406,-4521,-39,129,1474
407,-4548,-39,129,1473
408,-4548,-57,81,1473
409,-4479,-144,81,1477
410,-4521,-144,183,1477
411,-4521,-141,156,1476
412,-4452,-141,156,1476
413,-4452,-120,174,1474
414,-4383,-114,174,1474
415,-4326,-114,120,1473
416,-4326,-135,171,1473
417,-4272,-135,171,1473
418,-4272,-117,174,1473
419,-4290,-108,174,1478
420,-4257,-108,183,1478
421,-4257,-102,252,1477
422,-4275,-42,252,1477
423,-4275,-42,171,1476
424,-4308,-9,171,1475
425,-4305,-9,210,1474
426,-4305,-6,105,1474
427,-4329,63,105,1474
428,-4329,63,69,1474
429,-4347,54,69,1478
430,-4401,54,63,1478
431,-4401,81,9,1477
432,-4458,96,9,1476
433,-4458,96,-72,1476
434,-4473,120,-72,1475
435,-4527,120,-57,1474
436,-4527,108,-39,1473
437,-4572,78,-39,1473
438,-4572,78,-42,1473
439,-4545,81,-42,1473
440,-4557,81,27,1478
441,-4557,48,-21,1477
442,-4545,-6,-21,1477
443,-4545,-6,114,1476
444,-4494,-84,114,1476
445,-4422,-84,222,1476
446,-4422,-117,243,1475
447,-4362,-168,243,1475
448,-4362,-168,240,1474
449,-4263,-156,240,1474
450,-4170,-156,327,1474
451,-4170,-192,294,1478
452,-4143,-159,294,1478
453,-4125,-159,282,1477
454,-4125,-180,282,1477
455,-4113,-180,300,1476
456,-4113,-153,327,1475
457,-4182,-141,327,1474
458,-4386,-141,309,1475
459,-4386,-906,309,1473
460,-4893,-906,1323,1474
461,-4893,-729,507,1474
462,-4209,6,507,1478
463,-4503,6,225,1477
464,-4503,-90,225,1477
465,-4479,-90,156,1476
466,-4479,-51,207,1476
467,-4542,-66,207,1475
468,-4635,-66,129,1475
469,-4635,-81,129,1474
470,-4761,-81,105,1474
471,-4761,-69,45,1473
472,-4758,-81,45,1473
473,-4779,-81,-69,1478
474,-4779,-120,-159,1477
475,-4680,-120,-159,1476
476,-4680,-69,-255,1477
477,-4608,-51,-255,1475
478,-4596,-51,-282,1476
479,-4596,-36,-246,1474
480,-4515,-36,-246,1474
481,-4515,6,-141,1473
482,-4359,33,-141,1473
483,-4263,33,-99,1478
484,-4263,36,-24,1478
485,-4146,36,-24,1477
486,-4146,39,138,1477
487,-4047,21,138,1476
488,-3876,21,141,1476
489,-3876,27,234,1475
490,-3675,27,234,1475
491,-3675,33,294,1474
492,-3543,69,294,1474
493,-3570,69,399,1479
494,-3570,84,381,1477
495,-3738,84,381,1477
496,-3738,141,339,1476
497,-3960,159,339,1476
498,-4194,159,381,1476
499,-4194,231,279,1475
500,-4407,231,279,1475
501,-4407,201,261,1474
502,-4605,240,261,1474
503,-4737,240,240,1474
504,-4737,117,168,1478
505,-4917,117,168,1478
506,-4917,147,27,1477
507,-4959,-18,27,1476
508,-5118,-18,-177,1476
509,-5118,-111,-330,1475
510,-5118,-174,-330,1475
511,-5118,-174,-450,1474
512,-5100,-309,-450,1474
513,-5142,-309,-573,1474
514,-5142,-477,-621,1474
515,-5142,-540,-621,1478
516,-5142,-540,-657,1478
517,-4995,-639,-657,1477
518,-4851,-639,-570,1477
519,-4851,-588,-477,1476
520,-4614,-516,-477,1475
521,-4614,-516,-240,1474
522,-4458,-417,-240,1474
523,-4161,-417,-9,1474
524,-4161,-288,87,1473
525,-3846,-210,87,1478
526,-3846,-210,231,1477
527,-3573,-180,231,1476
528,-3384,-180,321,1476
529,-3384,-33,312,1476
530,-3294,27,312,1475
531,-3294,27,396,1475
532,-3342,99,396,1474
533,-3486,99,480,1473
534,-3486,189,498,1473
535,-3717,240,498,1478
536,-3717,240,561,1478
537,-3876,291,561,1477
538,-4212,291,492,1477
539,-4212,333,498,1476
540,-4443,327,498,1475
541,-4443,327,459,1475
542,-4629,279,459,1474
543,-4956,279,387,1474
544,-4956,-2592,2385,1473
545,-4749,234,2385,1477
546,-5139,234,-150,1477
547,-5139,348,-150,1477
548,-4965,348,-297,1476
549,-4965,66,-270,1475
